Name,Link,Birth Date,Height (meter),Weight (Kg),Nationalities,Total points,Per Game Point,Total Rebounds,Per Game Rebounds,Total Assists,Per Game Assists
Al Sanders,https://en.wikipedia.org/wiki/Al_Sanders_(basketball),1950-01-01,2.01,109.0,American,,,,,,
Frankie Sanders,https://en.wikipedia.org/wiki/Frankie_Sanders,1957-01-23,1.98,91.0,American,,,,,,
Jeff Sanders,https://en.wikipedia.org/wiki/Jeff_Sanders,1966-01-14,2.03,102.0,American,,,,,,
Larry Sanders,https://en.wikipedia.org/wiki/Larry_Sanders_(basketball),1988-11-21,2.11,104.0,American,,,,,,
Melvin Sanders,https://en.wikipedia.org/wiki/Melvin_Sanders,1981-01-03,1.96,93.0,American,,,,,,
Mike Sanders,https://en.wikipedia.org/wiki/Mike_Sanders_(basketball),1960-05-07,1.98,95.0,American,5162.0,8.0,1927.0,3.0,880.0,1.4
Satch Sanders,https://en.wikipedia.org/wiki/Satch_Sanders,1938-11-08,1.98,95.0,American,8766.0,9.6,5798.0,6.3,1026.0,1.1
Ron Sanford,https://en.wikipedia.org/wiki/Ron_Sanford,1946-06-11,2.06,98.0,American,,,,,,
Daniel Santiago,https://en.wikipedia.org/wiki/Daniel_Santiago,1976-06-24,2.16,118.0,"American,Puerto Rican",,,,,,
Bob Santini,https://en.wikipedia.org/wiki/Bob_Santini,1932-02-17,1.96,86.0,American,,,,,,
Wayne Sappleton,https://en.wikipedia.org/wiki/Wayne_Sappleton,1960-11-17,2.06,98.0,Jamaican,,,,,,
Jason Sasser,https://en.wikipedia.org/wiki/Jason_Sasser,1974-01-03,2.01,102.0,American,,,,,,
Jeryl Sasser,https://en.wikipedia.org/wiki/Jeryl_Sasser,1979-02-13,1.98,91.0,American,,,,,,
Kenny Satterfield,https://en.wikipedia.org/wiki/Kenny_Satterfield,1981-04-10,1.88,79.0,American,,,,,,
Louie Sauer,https://en.wikipedia.org/wiki/Louie_Sauer,1915-09-03,1.98,107.0,American,,,,,,
Frank Saul,https://en.wikipedia.org/wiki/Frank_Saul_(basketball),1924-02-16,1.88,84.0,American,2152.0,5.6,683.0,2.0,596.0,1.6
Woody Sauldsberry,https://en.wikipedia.org/wiki/Woody_Sauldsberry,1934-07-11,2.01,100.0,American,4930.0,10.7,3618.0,7.8,498.0,1.1
Glynn Saulters,https://en.wikipedia.org/wiki/Glynn_Saulters,1945-02-10,,,,,,,,,
Fred Saunders,https://en.wikipedia.org/wiki/Fred_Saunders,1951-06-13,2.01,95.0,American,1107.0,5.3,624.0,3.0,224.0,1.1
Rusty Saunders,https://en.wikipedia.org/wiki/Rusty_Saunders,,,,,,,,,,
Don Savage,https://en.wikipedia.org/wiki/Don_Savage_(basketball),1928-04-09,1.91,93.0,American,54.0,3.2,31.0,1.8,14.0,0.8
Alan Sawyer,https://en.wikipedia.org/wiki/Alan_Sawyer,"January 1, 1928",1.96,88.0,American,,,,,,
Brian Scalabrine,https://en.wikipedia.org/wiki/Brian_Scalabrine,1978-03-18,2.06,107.0,American,,,,,,
Alex Scales,https://en.wikipedia.org/wiki/Alex_Scales,1978-07-03,1.93,84.0,American,,,,,,
DeWayne Scales,https://en.wikipedia.org/wiki/DeWayne_Scales,1958-12-28,2.03,94.0,American,,,,,,
Ted Scalissi,https://en.wikipedia.org/wiki/Ted_Scalissi,,,,,,,,,,
Jack Scarry,https://en.wikipedia.org/wiki/Jack_Scarry,1917-05-29,1.91,88.0,American,,,,,,
Frank Schade,https://en.wikipedia.org/wiki/Frank_Schade,1950-01-22,1.85,77.0,American,,,,,,
Ben Schadler,https://en.wikipedia.org/wiki/Ben_Schadler,1924-03-09,1.83,84.0,American,,,,,,
Herm Schaefer,https://en.wikipedia.org/wiki/Herm_Schaefer,1918-12-20,1.83,79.0,American,,,,,,
Billy Schaeffer,https://en.wikipedia.org/wiki/Billy_Schaeffer,1951-12-11,1.96,91.0,American,802.0,5.9,289.0,2.1,94.0,0.7
Bob Schafer,https://en.wikipedia.org/wiki/Bob_Schafer,1933-03-29,1.91,88.0,American,,,,,,
Bennie Schall,https://en.wikipedia.org/wiki/Bennie_Schall,1917-12-08,1.75,75.0,American,,,,,,
Ben Scharnus,https://en.wikipedia.org/wiki/Ben_Scharnus,,,,,,,,,,
Marv Schatzman,https://en.wikipedia.org/wiki/Marv_Schatzman,1927-02-18,1.96,91.0,American,115.0,3.4,,,38.0,1.1
Fred Schaus,https://en.wikipedia.org/wiki/Fred_Schaus,1925-06-30,1.96,93.0,American,4070.0,12.2,1609.0,6.0,961.0,2.9
Danny Schayes,https://en.wikipedia.org/wiki/Danny_Schayes,1959-05-10,2.11,107.0,American,8780.0,7.7,5671.0,5.0,,
Dolph Schayes,https://en.wikipedia.org/wiki/Dolph_Schayes,1928-05-19,2.01,88.0,American,19247.0,18.2,11256.0,12.1,3072.0,3.1
Ossie Schectman,https://en.wikipedia.org/wiki/Ossie_Schectman,1919-03-30,2.01,91.0,American,,,,,,
Herb Scheffler,https://en.wikipedia.org/wiki/Herb_Scheffler,1917-11-05,1.93,100.0,American,,,,,,
Steve Scheffler,https://en.wikipedia.org/wiki/Steve_Scheffler,1967-09-03,2.06,113.0,American,331.0,1.9,180.0,1.0,,
Tom Scheffler,https://en.wikipedia.org/wiki/Tom_Scheffler,1954-10-27,2.11,109.0,American,,,,,,
Dave Schellhase,https://en.wikipedia.org/wiki/Dave_Schellhase,1944-10-14,1.91,93.0,American,208.0,2.8,76.0,1.0,60.0,0.8
Luke Schenscher,https://en.wikipedia.org/wiki/Luke_Schenscher,1982-12-31,2.16,115.0,Australian,,,,,,
Herb Scherer,https://en.wikipedia.org/wiki/Herb_Scherer,1929-12-21,2.06,96.0,American,,,,,,
Dwayne Schintzius,https://en.wikipedia.org/wiki/Dwayne_Schintzius,1968-10-14,2.18,118.0,American,587.0,2.7,536.0,2.5,93.0,0.4
Glenn Schlechty,https://en.wikipedia.org/wiki/Glenn_Schlechty,1912-03-31,1.98,84.0,American,,,,,,
Dale Schlueter,https://en.wikipedia.org/wiki/Dale_Schlueter,1945-11-12,2.08,102.0,American,3130.0,5.3,3034.0,5.2,920.0,1.6
Otto Schnellbacher,https://en.wikipedia.org/wiki/Otto_Schnellbacher,,,,,,,,,,
Dick Schnittker,https://en.wikipedia.org/wiki/Dick_Schnittker,1927-05-27,1.96,91.0,American,3028.0,8.3,1372.0,3.8,480.0,1.3
Russ Schoene,https://en.wikipedia.org/wiki/Russ_Schoene,1960-04-16,2.08,95.0,American,,,,,,
Dave Scholz,https://en.wikipedia.org/wiki/Dave_Scholz,1948-04-12,2.03,100.0,American,,,,,,
Gene Scholz,https://en.wikipedia.org/wiki/Gene_Scholz,,,,,,,,,,
Milt Schoon,https://en.wikipedia.org/wiki/Milt_Schoon,1922-02-25,2.01,104.0,,,,,,,
Bill Schrader,https://en.wikipedia.org/wiki/Bill_Schrader,1910-05-14,2.01,95.0,American,,,,,,
Al Schrecker,https://en.wikipedia.org/wiki/Al_Schrecker,1917-07-23,1.85,73.0,American,,,,,,
Detlef Schrempf,https://en.wikipedia.org/wiki/Detlef_Schrempf,1963-01-21,2.08,107.0,German,15761.0,13.9,7023.0,6.2,3833.0,3.4
Howie Schultz,https://en.wikipedia.org/wiki/Howie_Schultz,,,,,,,,,,
Dick Schulz,https://en.wikipedia.org/wiki/Dick_Schulz,1917-01-03,1.88,87.0,American,,,,,,
Roger Schurig,https://en.wikipedia.org/wiki/Roger_Schurig,,,,,,,,,,
John Schweitz,https://en.wikipedia.org/wiki/John_Schweitz,1960-04-19,1.98,95.0,American,,,,,,
Luis Scola,https://en.wikipedia.org/wiki/Luis_Scola,1980-04-30,2.06,109.0,Argentine,,,,,,
Fred Scolari,https://en.wikipedia.org/wiki/Fred_Scolari,1922-03-01,1.78,82.0,,,,,,,
Alvin Scott,https://en.wikipedia.org/wiki/Alvin_Scott,1955-09-14,2.01,84.0,American,3088.0,4.9,1992.0,3.2,847.0,1.4
Brent Scott,https://en.wikipedia.org/wiki/Brent_Scott,1971-06-15,2.08,113.0,American,,,,,,
Byron Scott,https://en.wikipedia.org/wiki/Byron_Scott,1961-03-28,1.91,88.0,American,15097.0,14.1,,,2729.0,2.5
Charlie Scott,https://en.wikipedia.org/wiki/Charlie_Scott,1948-12-15,1.96,79.0,American,10037.0,17.9,2034.0,3.6,2696.0,4.8
Dennis Scott,https://en.wikipedia.org/wiki/Dennis_Scott_(basketball),1968-09-05,2.03,104.0,American,8094.0,12.9,1774.0,2.8,1296.0,2.1
James Scott,https://en.wikipedia.org/wiki/James_Scott_(basketball),1972-06-30,1.98,82.0,American,,,,,,
Joe Scott,https://en.wikipedia.org/wiki/Joe_Scott_(basketball),1965-07-28,,,,,,,,,
Mike Scott,https://en.wikipedia.org/wiki/Mike_Scott_(basketball),1988-07-16,2.03,108.0,American,,,,,,
Ray Scott,https://en.wikipedia.org/wiki/Ray_Scott_(basketball),1938-07-12,2.06,102.0,American,11269.0,14.3,7979.0,9.8,1781.0,2.2
Shawnelle Scott,https://en.wikipedia.org/wiki/Shawnelle_Scott,1972-07-16,2.08,113.0,American,189.0,1.8,228.0,2.2,,
Willie Scott,https://en.wikipedia.org/wiki/Willie_Scott_(basketball),1947-05-22,1.96,95.0,American,,,,,,
Paul Scranton,https://en.wikipedia.org/wiki/Paul_Scranton,1944-04-30,1.96,104.0,American,,,,,,
Carey Scurry,https://en.wikipedia.org/wiki/Carey_Scurry,1962-12-04,2.01,85.0,American,,,,,,
Bruce Seals,https://en.wikipedia.org/wiki/Bruce_Seals,1953-06-18,2.03,95.0,American,3107.0,8.9,1463.0,4.2,,
Shea Seals,https://en.wikipedia.org/wiki/Shea_Seals,1975-08-26,1.96,95.0,American,,,,,,
Malik Sealy,https://en.wikipedia.org/wiki/Malik_Sealy,1970-02-01,2.03,91.0,American,4955.0,10.1,1585.0,3.2,,
Tom Sealy,https://en.wikipedia.org/wiki/Tom_Sealy,,,,,,,,,,
Ed Searcy,https://en.wikipedia.org/wiki/Ed_Searcy,1952-04-17,1.98,95.0,American,,,,,,
Ken Sears,https://en.wikipedia.org/wiki/Ken_Sears,1933-08-17,2.06,90.0,American,7355.0,13.9,4142.0,7.8,843.0,1.6
Johnny Sebastian,https://en.wikipedia.org/wiki/Johnny_Sebastian,1921-11-20,1.83,84.0,American,,,,,,
Wayne See,https://en.wikipedia.org/wiki/Wayne_See,1923-11-03,1.91,86.0,American,,,,,,
Thabo Sefolosha,https://en.wikipedia.org/wiki/Thabo_Sefolosha,1984-05-02,2.01,100.0,Swiss,,,,,,
Rony Seikaly,https://en.wikipedia.org/wiki/Rony_Seikaly,1965-05-10,2.08,115.0,"Lebanese,American",9991.0,14.7,6424.0,9.5,,
Glen Selbo,https://en.wikipedia.org/wiki/Glen_Selbo,1926-03-29,1.91,89.0,American,42.0,3.2,,,23.0,1.8
Josh Selby,https://en.wikipedia.org/wiki/Josh_Selby,1991-03-27,1.88,83.0,American,,,,,,
Brad Sellers,https://en.wikipedia.org/wiki/Brad_Sellers,1962-12-17,2.13,95.0,American,,,,,,
Phil Sellers,https://en.wikipedia.org/wiki/Phil_Sellers,1953-11-20,1.93,88.0,American,,,,,,
Rollie Seltz,https://en.wikipedia.org/wiki/Rollie_Seltz,1924-01-25,1.78,75.0,American,,,,,,
Les Selvage,https://en.wikipedia.org/wiki/Les_Selvage,1943-03-07,1.85,79.0,American,,,,,,
Frank Selvy,https://en.wikipedia.org/wiki/Frank_Selvy,1932-11-09,1.91,82.0,American,6120.0,10.8,2097.0,3.7,1569.0,2.8
Jim Seminoff,https://en.wikipedia.org/wiki/Jim_Seminoff,1922-09-01,1.88,86.0,American,,,,,,
Mouhamed Sene,https://en.wikipedia.org/wiki/Mouhamed_Sene,1986-05-12,2.13,108.0,Senegalese,,,,,,
George Senesky,https://en.wikipedia.org/wiki/George_Senesky,1922-04-04,1.88,81.0,American,3455.0,7.2,878.0,3.5,1553.0,3.2
Ansu Sesay,https://en.wikipedia.org/wiki/Ansu_Sesay,1976-07-29,2.06,102.0,American,,,,,,
Ramon Sessions,https://en.wikipedia.org/wiki/Ramon_Sessions,1986-04-11,1.91,86.0,American,,,,,,
Tom Sewell,https://en.wikipedia.org/wiki/Tom_Sewell_(basketball),1962-03-14,1.96,84.0,American,,,,,,
Paul Seymour,https://en.wikipedia.org/wiki/Paul_Seymour_(basketball),1928-01-30,1.85,82.0,American,,,,,,
Nick Shaback,https://en.wikipedia.org/wiki/Nick_Shaback,,,,,,,,,,
Lynn Shackelford,https://en.wikipedia.org/wiki/Lynn_Shackelford,1947-08-27,1.96,86.0,American,,,,,,
Charles Shackleford,https://en.wikipedia.org/wiki/Charles_Shackleford,1966-04-22,2.08,102.0,American,1625.0,5.4,1448.0,4.8,,
Carl Shaeffer,https://en.wikipedia.org/wiki/Carl_Shaeffer,1924-10-25,1.91,84.0,American,,,,,,
Lee Shaffer,https://en.wikipedia.org/wiki/Lee_Shaffer,1939-02-23,2.01,100.0,American,3291.0,16.8,1240.0,6.3,232.0,1.2
Mustafa Shakur,https://en.wikipedia.org/wiki/Mustafa_Shakur,1984-08-18,1.91,86.0,American,,,,,,
God Shammgod,https://en.wikipedia.org/wiki/God_Shammgod,1976-04-29,1.83,77.0,American,,,,,,
Earl Shannon,https://en.wikipedia.org/wiki/Earl_Shannon,1921-11-23,1.8,77.0,American,,,,,,
Howie Shannon,https://en.wikipedia.org/wiki/Howie_Shannon,1923-06-10,1.88,79.0,American,1323.0,10.8,,,299.0,2.5
Chuck Share,https://en.wikipedia.org/wiki/Chuck_Share,1927-03-14,2.11,107.0,American,,,,,,
Bill Sharman,https://en.wikipedia.org/wiki/Bill_Sharman,1926-05-25,1.85,79.0,American,12665.0,17.8,2779.0,3.9,2101.0,3.0
Walter Sharpe,https://en.wikipedia.org/wiki/Walter_Sharpe,1986-07-18,2.06,111.0,American,,,,,,
John Shasky,https://en.wikipedia.org/wiki/John_Shasky,1964-07-31,2.11,107.0,American,,,,,,
Ronnie Shavlik,https://en.wikipedia.org/wiki/Ronnie_Shavlik,1933-12-04,2.03,91.0,American,,,,,,
Bob Shaw,https://en.wikipedia.org/wiki/Bob_Shaw_(American_football),,,,,,,,,,
Brian Shaw,https://en.wikipedia.org/wiki/Brian_Shaw,1966-03-22,1.98,86.0,American,6547.0,7.0,3183.0,3.4,3918.0,4.2
Casey Shaw,https://en.wikipedia.org/wiki/Casey_Shaw,1975-07-20,2.11,118.0,American,,,,,,
Bob Shea,https://en.wikipedia.org/wiki/Bob_Shea_(basketball),1924-09-11,1.88,88.0,American,,,,,,
Fred Sheffield,https://en.wikipedia.org/wiki/Fred_Sheffield,1923-11-05,1.88,75.0,American,,,,,,
Craig Shelton,https://en.wikipedia.org/wiki/Craig_Shelton,1957-05-01,2.01,95.0,American,240.0,4.1,141.0,2.4,27.0,0.5
Lonnie Shelton,https://en.wikipedia.org/wiki/Lonnie_Shelton,1955-10-19,2.03,109.0,American,8049.0,12.0,4136.0,6.1,1459.0,2.2
Tornike Shengelia,https://en.wikipedia.org/wiki/Tornike_Shengelia,1991-10-05,2.06,109.0,Georgian,,,,,,
Billy Shepherd,https://en.wikipedia.org/wiki/Billy_Shepherd,1949-11-18,1.78,73.0,American,,,,,,
Jeff Sheppard,https://en.wikipedia.org/wiki/Jeff_Sheppard,1974-09-29,1.93,86.0,American,,,,,,
Steve Sheppard,https://en.wikipedia.org/wiki/Steve_Sheppard,1954-03-21,1.98,98.0,American,,,,,,
Edmund Sherod,https://en.wikipedia.org/wiki/Edmund_Sherod,,,,,,,,,,
Charley Shipp,https://en.wikipedia.org/wiki/Charley_Shipp,,,,,,,,,,
Paul Shirley,https://en.wikipedia.org/wiki/Paul_Shirley,1977-12-23,2.08,107.0,American,,,,,,
Ollie Shoaff,https://en.wikipedia.org/wiki/Ollie_Shoaff,1923-11-10,,,American,,,,,,
Gene Short,https://en.wikipedia.org/wiki/Gene_Short,1953-08-07,1.98,91.0,American,,,,,,
Purvis Short,https://en.wikipedia.org/wiki/Purvis_Short,1957-07-02,2.01,95.0,American,14607.0,17.3,3625.0,4.3,2123.0,2.5
Dexter Shouse,https://en.wikipedia.org/wiki/Dexter_Shouse,1963-03-24,1.88,91.0,,,,,,,
Dick Shrider,https://en.wikipedia.org/wiki/Dick_Shrider,1923-02-07,1.88,86.0,American,,,,,,
Gene Shue,https://en.wikipedia.org/wiki/Gene_Shue,1931-12-18,1.88,77.0,American,10068.0,14.4,2855.0,4.1,2608.0,3.7
John Shumate,https://en.wikipedia.org/wiki/John_Shumate,1952-04-06,2.06,107.0,American,3920.0,12.3,2388.0,7.5,574.0,1.8
Iman Shumpert,https://en.wikipedia.org/wiki/Iman_Shumpert,1990-06-26,1.96,100.0,American,,,,,,
Alexey Shved,https://en.wikipedia.org/wiki/Alexey_Shved,1988-12-16,1.98,86.0,Russian,,,,,,
Pascal Siakam,https://en.wikipedia.org/wiki/Pascal_Siakam,1994-04-02,2.06,104.0,Cameroonian,,,,,,
Sam Sibert,https://en.wikipedia.org/wiki/Sam_Sibert,1949-02-11,2.01,98.0,American,,,,,,
Mark Sibley,https://en.wikipedia.org/wiki/Mark_Sibley,1950-11-13,1.88,79.0,American,,,,,,
Jerry Sichting,https://en.wikipedia.org/wiki/Jerry_Sichting,1956-11-29,1.85,76.0,American,4141.0,6.9,817.0,1.4,1962.0,3.3
Don Sidle,https://en.wikipedia.org/wiki/Don_Sidle,,,,,,,,,,
Larry Siegfried,https://en.wikipedia.org/wiki/Larry_Siegfried,1939-05-22,1.91,86.0,American,5960.0,10.8,1567.0,2.8,1950.0,3.5
Ralph Siewert,https://en.wikipedia.org/wiki/Ralph_Siewert,,,,,,,,,,
Jack Sikma,https://en.wikipedia.org/wiki/Jack_Sikma,1955-11-14,2.11,104.0,American,17827.0,15.6,10816.0,9.8,,
James Silas,https://en.wikipedia.org/wiki/James_Silas,1949-02-11,1.85,82.0,American,11038.0,16.1,2068.0,3.0,2628.0,3.8
Paul Silas,https://en.wikipedia.org/wiki/Paul_Silas,1943-07-12,2.01,102.0,American,11782.0,9.4,12357.0,9.9,2572.0,2.1
Xavier Silas,https://en.wikipedia.org/wiki/Xavier_Silas,1988-01-22,1.96,90.0,American,,,,,,
Garret Siler,https://en.wikipedia.org/wiki/Garret_Siler,1986-10-25,2.11,138.0,American,,,,,,
Mike Silliman,https://en.wikipedia.org/wiki/Mike_Silliman,1944-05-05,1.98,102.0,American,,,,,,
Wayne Simien,https://en.wikipedia.org/wiki/Wayne_Simien,1983-03-09,2.06,118.0,American,,,,,,
Bobby Simmons,https://en.wikipedia.org/wiki/Bobby_Simmons,1980-06-02,2.03,107.0,American,,,,,,
Cedric Simmons,https://en.wikipedia.org/wiki/Cedric_Simmons,1986-01-03,2.06,107.0,"American,Bulgarian",,,,,,
Connie Simmons,https://en.wikipedia.org/wiki/Connie_Simmons,1925-03-15,2.03,101.0,American,,,,,,
Grant Simmons,https://en.wikipedia.org/wiki/Grant_Simmons,,,85.0,,,,,,,
John Simmons,https://en.wikipedia.org/wiki/John_Simmons_(baseball),,,,,,,,,,
Jonathon Simmons,https://en.wikipedia.org/wiki/Jonathon_Simmons,1989-09-14,1.98,88.0,American,,,,,,
Lionel Simmons,https://en.wikipedia.org/wiki/Lionel_Simmons,1968-11-14,2.01,95.0,American,5833.0,12.8,2833.0,4.5,1498.0,3.3
Miles Simon,https://en.wikipedia.org/wiki/Miles_Simon,,,,,,,,,,
Walt Simon,https://en.wikipedia.org/wiki/Walt_Simon,,,,,,,,,,
Dickey Simpkins,https://en.wikipedia.org/wiki/Dickey_Simpkins,1972-04-06,2.06,112.0,American,1388.0,4.2,1187.0,3.6,305.0,0.9
Ralph Simpson,https://en.wikipedia.org/wiki/Ralph_Simpson,1949-08-10,1.96,91.0,American,11785.0,16.7,2616.0,3.7,2357.0,3.3
Alvin Sims,https://en.wikipedia.org/wiki/Alvin_Sims,,,,,,,,,,
Bob Sims,https://en.wikipedia.org/wiki/Bob_Sims_(NBL),,1.98,100.0,American,,,,,,
Bob Sims,"https://en.wikipedia.org/wiki/Bob_Sims_(basketball,_born_1938)","October 9, 1938",1.96,100.0,American,,,,,,
Courtney Sims,https://en.wikipedia.org/wiki/Courtney_Sims,1983-10-21,2.11,111.0,American,,,,,,
Doug Sims,https://en.wikipedia.org/wiki/Doug_Sims,1943-06-29,2.01,88.0,American,,,,,,
Henry Sims,https://en.wikipedia.org/wiki/Henry_Sims,1990-03-27,2.08,111.0,American,,,,,,
Scott Sims,https://en.wikipedia.org/wiki/Scott_Sims_(basketball),1955-04-18,1.85,77.0,American,,,,,,
Kyle Singler,https://en.wikipedia.org/wiki/Kyle_Singler,1988-05-04,2.03,103.0,American,,,,,,
Sean Singletary,https://en.wikipedia.org/wiki/Sean_Singletary,1985-09-06,1.83,84.0,American,,,,,,
Chris Singleton,https://en.wikipedia.org/wiki/Chris_Singleton_(basketball),1989-11-21,2.06,108.0,American,,,,,,
James Singleton,https://en.wikipedia.org/wiki/James_Singleton_(basketball),1981-07-20,2.03,104.0,American,,,,,,
McKinley Singleton,https://en.wikipedia.org/wiki/McKinley_Singleton,1961-10-29,1.96,79.0,,,,,,,
Zeke Sinicola,https://en.wikipedia.org/wiki/Zeke_Sinicola,,,,,,,,,,
Steve Sitko,https://en.wikipedia.org/wiki/Steve_Sitko,,,,,,,,,,
Charlie Sitton,https://en.wikipedia.org/wiki/Charlie_Sitton,1962-07-03,2.03,95.0,American,,,,,,
Peyton Siva,https://en.wikipedia.org/wiki/Peyton_Siva,1990-10-24,1.83,84.0,American,,,,,,
Scott Skiles,https://en.wikipedia.org/wiki/Scott_Skiles,1964-03-05,1.85,82.0,American,6652.0,11.1,,,3881.0,6.5
Al Skinner,https://en.wikipedia.org/wiki/Al_Skinner,1952-06-16,,,,,,,,,
Brian Skinner,https://en.wikipedia.org/wiki/Brian_Skinner,1976-05-19,2.06,116.0,American,,,,,,
Talvin Skinner,https://en.wikipedia.org/wiki/Talvin_Skinner,1952-09-10,1.96,95.0,American,,,,,,
Myer Skoog,https://en.wikipedia.org/wiki/Myer_Skoog,1926-11-02,1.8,82.0,American,2800.0,8.2,1133.0,3.3,903.0,2.6
Pres Slack,https://en.wikipedia.org/wiki/Pres_Slack,1908-12-28,1.88,82.0,American,,,,,,
Jeff Slade,https://en.wikipedia.org/wiki/Jeff_Slade,1941-03-01,1.98,100.0,American,,,,,,
Reggie Slater,https://en.wikipedia.org/wiki/Reggie_Slater,1970-08-27,2.01,116.0,American,,,,,,
Jim Slaughter,https://en.wikipedia.org/wiki/Jim_Slaughter,"May 13, 1928",2.11,95.0,American,,,,,,
Jose Slaughter,https://en.wikipedia.org/wiki/Jose_Slaughter,1960-09-09,1.96,93.0,American,,,,,,
Tamar Slay,https://en.wikipedia.org/wiki/Tamar_Slay,1980-04-02,2.03,100.0,American,,,,,,
Donald Sloan,https://en.wikipedia.org/wiki/Donald_Sloan_(basketball),1988-01-15,1.91,93.0,American,,,,,,
Jerry Sloan,https://en.wikipedia.org/wiki/Jerry_Sloan,1942-03-28,1.96,88.0,American,10571.0,14.0,5615.0,7.4,1925.0,2.5
Tom Sluby,https://en.wikipedia.org/wiki/Tom_Sluby,1962-02-18,1.93,91.0,American,,,,,,
Keith Smart,https://en.wikipedia.org/wiki/Keith_Smart,1964-09-21,1.85,79.0,American,,,,,,
Marcus Smart,https://en.wikipedia.org/wiki/Marcus_Smart,1994-03-06,1.93,100.0,American,,,,,,
Belus Smawley,https://en.wikipedia.org/wiki/Belus_Smawley,1918-03-18,,,,,,,,,
Jack Smiley,https://en.wikipedia.org/wiki/Jack_Smiley,,,,,,,,,,
Adrian Smith,https://en.wikipedia.org/wiki/Adrian_Smith_(basketball),1936-10-05,1.85,82.0,American,8750.0,11.3,1626.0,2.1,1739.0,2.3
Al Smith,https://en.wikipedia.org/wiki/Al_Smith_(basketball),1947-01-15,1.85,84.0,,3298.0,9.8,865.0,2.6,1793.0,5.3
Bill Smith,https://en.wikipedia.org/wiki/Bill_Smith_(basketball),1939-04-26,1.96,86.0,American,,,,,,
Bingo Smith,https://en.wikipedia.org/wiki/Bingo_Smith,1946-02-26,1.96,88.0,American,10882.0,12.6,3630.0,4.2,1734.0,2.0
Bobby Smith,https://en.wikipedia.org/wiki/Bobby_Smith_(basketball),1937-08-20,1.93,86.0,American,,,,,,
Charles Smith,"https://en.wikipedia.org/wiki/Charles_Smith_(basketball,_born_1965)",1965-07-16,2.08,104.0,American,8107.0,14.4,3246.0,5.8,798.0,1.4
Charles Smith,"https://en.wikipedia.org/wiki/Charles_Smith_(basketball,_born_1967)",1967-11-29,1.85,73.0,American,,,,,,
Charles Smith,"https://en.wikipedia.org/wiki/Charles_Smith_(basketball,_born_1975)",1975-08-22,1.93,91.0,American,,,,,,
Chris Smith,"https://en.wikipedia.org/wiki/Chris_Smith_(basketball,_born_1970)",1970-05-17,1.91,86.0,American,1140.0,5.1,291.0,1.3,627.0,2.8
Chris Smith,"https://en.wikipedia.org/wiki/Chris_Smith_(basketball,_born_1987)",1987-10-13,1.88,93.0,American,,,,,,
Clinton Smith,https://en.wikipedia.org/wiki/Clinton_Smith_(basketball),1964-01-19,1.98,95.0,American,,,,,,
Craig Smith,"https://en.wikipedia.org/wiki/Craig_Smith_(basketball,_born_1983)",1983-11-10,2.01,120.0,American,,,,,,
